7157, 345.3, 27.4, 0.0879, no trigger, navigating, null
7175, 344.8, 28.1, 0.0878, no trigger, navigating, null
7192, 344.4, 28.8, 0.0877, no trigger, navigating, null
7209, 343.9, 29.5, 0.0875, no trigger, navigating, null
7226, 343.5, 30.1, 0.0874, no trigger, navigating, null
7244, 343.1, 30.8, 0.0873, no trigger, navigating, null
7262, 342.6, 31.6, 0.0871, no trigger, navigating, null
7282, 342.1, 32.3, 0.087, no trigger, navigating, null
7299, 341.7, 33, 0.0868, no trigger, navigating, null
7316, 341.3, 33.6, 0.0867, no trigger, navigating, null
7333, 340.8, 34.3, 0.0866, no trigger, navigating, null
7351, 340.4, 34.9, 0.0865, no trigger, navigating, null
7368, 340, 35.5, 0.0863, no trigger, navigating, null
7385, 340, 35.5, 0.0863, right trigger, navigating, null
7401, 340, 35.5, 0.0863, no trigger, navigating, null
7418, 340, 35.5, 0.0863, no trigger, navigating, null
7435, 340, 35.5, 0.0863, no trigger, navigating, null
7452, 340, 35.5, 0.0863, no trigger, navigating, null
7469, 340, 35.5, 0.0863, no trigger, navigating, null
7486, 340, 35.5, 0.0863, no trigger, navigating, null
7503, 340, 35.5, 0.0863, no trigger, navigating, null
7520, 340, 35.5, 0.0863, no trigger, navigating, null
7538, 340, 35.5, 0.0863, no trigger, navigating, null
7555, 340, 35.5, 0.0863, no trigger, navigating, null
7572, 340, 35.5, 0.0863, no trigger, navigating, null
7589, 340, 35.5, 0.0863, no trigger, navigating, null
7607, 340, 35.5, 0.0863, no trigger, navigating, null
7624, 340, 35.5, 0.0863, no trigger, navigating, null
7640, 340, 35.5, 0.0863, no trigger, navigating, null
7658, 340, 35.5, 0.0863, no trigger, navigating, null
7674, 340, 35.5, 0.0863, right trigger, navigating, null
7692, 340.6, 34.6, 0.0865, no trigger, navigating, null
7710, 341.2, 33.7, 0.0867, no trigger, navigating, null
7727, 341.8, 32.8, 0.0869, no trigger, navigating, null
7745, 342.3, 32, 0.087, no trigger, navigating, null
7762, 342.8, 31.1, 0.0872, no trigger, navigating, null
7779, 343.4, 30.3, 0.0874, no trigger, navigating, null
7797, 344, 29.4, 0.0875, no trigger, navigating, null
7815, 344.5, 28.6, 0.0877, no trigger, navigating, null
7832, 345, 27.7, 0.0879, no trigger, navigating, null
7849, 345.5, 27, 0.088, no trigger, navigating, null
7867, 346.1, 26.2, 0.0882, no trigger, navigating, null
7884, 346.6, 25.4, 0.0883, no trigger, navigating, null
7901, 347.1, 24.6, 0.0885, no trigger, navigating, null
7918, 347.6, 23.8, 0.0886, no trigger, navigating, null
7936, 348.1, 23.1, 0.0888, no trigger, navigating, null
7953, 348.1, 23.1, 0.0888, leftTrigger, navigating, null
7970, 348.1, 23.1, 0.0888, no trigger, navigating, null
7987, 348.1, 23.1, 0.0888, no trigger, navigating, null
8004, 348.1, 23.1, 0.0888, no trigger, navigating, null
8021, 348.1, 23.1, 0.0888, no trigger, navigating, null
8038, 348.1, 23.1, 0.0888, no trigger, navigating, null
8054, 348.1, 23.1, 0.0888, no trigger, navigating, null
8070, 348.1, 23.1, 0.0888, no trigger, navigating, null
8086, 348.1, 23.1, 0.0888, no trigger, navigating, null
8104, 348.1, 23.1, 0.0888, no trigger, navigating, null
8121, 348.1, 23.1, 0.0888, no trigger, navigating, null
8138, 348.1, 23.1, 0.0888, no trigger, navigating, null
8155, 348.1, 23.1, 0.0888, no trigger, navigating, null
8172, 348.1, 23.1, 0.0888, no trigger, navigating, null
8189, 348.1, 23.1, 0.0888, no trigger, navigating, null
8206, 348.1, 23.1, 0.0888, no trigger, navigating, null
8223, 348.1, 23.1, 0.0888, no trigger, navigating, null
8239, 348.1, 23.1, 0.0888, no trigger, navigating, null
8257, 348.1, 23.1, 0.0888, no trigger, navigating, null
8274, 348.1, 23.1, 0.0888, no trigger, navigating, null
8290, 348.1, 23.1, 0.0888, no trigger, tagging, 1
8295, 348.1, 23.1, 0.0888, no trigger, tagging, 1
12090, 348, 23, 0.0888, no trigger, navigating, 1
12107, 348, 23, 0.0888, no trigger, navigating, 1
12124, 348, 23, 0.0888, no trigger, navigating, 1
12141, 348, 23, 0.0888, no trigger, navigating, 1
12157, 348, 23, 0.0888, no trigger, navigating, 1
12174, 348, 23, 0.0888, no trigger, navigating, 1
12191, 348, 23, 0.0888, no trigger, navigating, 1
12208, 348, 23, 0.0888, no trigger, navigating, 1
12224, 348, 23, 0.0888, no trigger, navigating, 1
12241, 348, 23, 0.0888, no trigger, navigating, 1
12258, 348, 23, 0.0888, no trigger, navigating, 1
12275, 348, 23, 0.0888, no trigger, navigating, 1
